"","Make","Make_Year","Color","Body_Type","Mileage_Run","No_of_Owners","Seating_Capacity","Fuel_Type","Transmission","Transmission_Type","Price"
"289","Hyundai",2017,"grey","sedan",45378,"1st",5,"petrol","5-Speed","Manual",589000
"290","Hyundai",2018,"grey","hatchback",28557,"2nd",5,"petrol","5-Speed","Automatic",574000
"291","Maruti Suzuki",2021,"white","hatchback",14853,"1st",5,"petrol","5-Speed","Manual",655000
"292","Maruti Suzuki",2020,"silver","sedan",70245,"1st",5,"petrol","5-Speed","Manual",920000
"293","Maruti Suzuki",2020,"grey","muv",22703,"1st",5,"petrol","5-Speed","Manual",488000
"294","Renault",2020,"blue","hatchback",36069,"1st",5,"petrol","5-Speed","Automatic",548000
"295","Maruti Suzuki",2016,"silver","hatchback",5227,"1st",5,"petrol","5-Speed","Manual",528000
"296","Maruti Suzuki",2017,"grey","hatchback",27803,"1st",5,"petrol","5-Speed","Automatic",527000
"297","Honda",2017,"white","sedan",47154,"1st",5,"petrol","5-Speed","Automatic",952000
"298","Honda",2012,"silver","hatchback",84488,"1st",5,"petrol","5-Speed","Manual",340000
"299","Volkswagen",2014,"brown","sedan",83265,"2nd",5,"diesel","5-Speed","Manual",790000
"300","Volkswagen",2014,"brown","sedan",83265,"2nd",5,"diesel","5-Speed","Manual",790000
"301","Volkswagen",2014,"brown","sedan",83265,"2nd",5,"diesel","5-Speed","Manual",790000
"302","Volkswagen",2014,"brown","sedan",83265,"2nd",5,"diesel","5-Speed","Manual",790000
"303","Honda",2018,"brown","sedan",16348,"1st",5,"petrol","5-Speed","Manual",765000
"304","Hyundai",2012,"white","hatchback",90078,"1st",5,"petrol","5-Speed","Manual",420000
"305","Honda",2018,"grey","suv",69591,"3rd",5,"diesel","6-Speed","Manual",800000
"306","Hyundai",2013,"blue","hatchback",56096,"1st",5,"petrol","5-Speed","Manual",486000
"307","Mahindra",2017,"white","suv",56418,"1st",7,"diesel","6-Speed","Manual",1465000
"308","Hyundai",2012,"grey","hatchback",65284,"1st",5,"petrol","5-Speed","Manual",348000
"309","Chevrolet",2015,"grey","sedan",72489,"1st",5,"diesel","6-Speed","Automatic",892000
"310","Volkswagen",2011,"silver","hatchback",68645,"2nd",5,"petrol","5-Speed","Manual",451000
"311","Hyundai",2018,"blue","hatchback",33231,"2nd",5,"petrol","5-Speed","Manual",403000
"312","Hyundai",2011,"beige","hatchback",43953,"1st",5,"petrol","5-Speed","Manual",338000
"313","Ford",2016,"grey","suv",36422,"1st",5,"petrol","6-Speed","Automatic",806000
"314","Maruti Suzuki",2015,"red","sedan",78251,"1st",5,"petrol","5-Speed","Manual",634000
"315","Hyundai",2016,"red","hatchback",48481,"1st",5,"petrol","5-Speed","Manual",654000
"316","Maruti Suzuki",2018,"blue","sedan",37746,"1st",5,"petrol","4-Speed","Manual",882000
"317","Hyundai",2017,"silver","suv",50872,"1st",5,"petrol","6-Speed","Manual",1196000
"318","Hyundai",2015,"grey","hatchback",25517,"1st",5,"petrol","5-Speed","Manual",669000
"319","Ford",2014,"silver","suv",74814,"2nd",5,"petrol","5-Speed","Manual",589000
"320","Tata",2020,"red","suv",24315,"1st",5,"diesel","6-Speed","Manual",1912000
"321","Hyundai",2017,"blue","hatchback",63937,"1st",5,"petrol","5-Speed","Manual",628000
"322","Maruti Suzuki",2019,"white","sedan",11499,"1st",5,"petrol","5-Speed","Automatic",812000
"323","Maruti Suzuki",2019,"blue","hatchback",30420,"1st",5,"diesel","5-Speed","Automatic",883000
"324","Maruti Suzuki",2018,"white","sedan",15221,"1st",5,"petrol","4-Speed","Manual",914000
"325","Mahindra",2017,"black","suv",46438,"1st",7,"diesel","5-Speed","Manual",1112000
"326","Maruti Suzuki",2018,"orange","hatchback",27941,"1st",5,"diesel","5-Speed","Manual",810000
"327","Hyundai",2014,"grey","hatchback",35461,"2nd",5,"petrol","4-Speed","Automatic",530000
"328","Maruti Suzuki",2012,"white","hatchback",46447,"1st",5,"diesel","5-Speed","Manual",455000
"329","Maruti Suzuki",2013,"grey","sedan",74652,"1st",5,"petrol","5-Speed","Manual",498000
"330","Maruti Suzuki",2013,"beige","hatchback",44746,"1st",5,"petrol","5-Speed","Manual",403000
"331","Hyundai",2014,"grey","hatchback",92092,"1st",5,"petrol","5-Speed","Manual",380000
"332","Toyota",2020,"red","sedan",26653,"2nd",5,"petrol","5-Speed","Manual",1092000
"333","Toyota",2020,"red","sedan",26653,"2nd",5,"petrol","5-Speed","Manual",1092000
"334","Toyota",2020,"red","sedan",26653,"2nd",5,"petrol","5-Speed","Manual",1092000
"335","Toyota",2020,"red","sedan",26653,"2nd",5,"petrol","5-Speed","Manual",1092000
"336","Hyundai",2014,"blue","hatchback",58748,"2nd",5,"petrol","5-Speed","Manual",457000
"337","Hyundai",2016,"beige","suv",90147,"1st",5,"petrol","6-Speed","Manual",813000
"338","Hyundai",2017,"grey","sedan",25905,"1st",5,"petrol","5-Speed","Manual",820000
"339","Hyundai",2014,"black","sedan",76890,"1st",5,"petrol","5-Speed","Manual",502000
"340","Maruti Suzuki",2020,"silver","hatchback",32490,"1st",5,"petrol","5-Speed","Manual",414000
"341","Maruti Suzuki",2019,"red","hatchback",13505,"1st",5,"petrol","5-Speed","Manual",391000
"342","Maruti Suzuki",2021,"silver","hatchback",21564,"1st",5,"petrol","5-Speed","Manual",433000
"343","Maruti Suzuki",2018,"grey","hatchback",22849,"1st",5,"petrol","5-Speed","Manual",372000
"344","Maruti Suzuki",2016,"white","hatchback",24374,"1st",5,"petrol","5-Speed","Manual",384000
"345","Hyundai",2018,"white","hatchback",31912,"1st",5,"petrol","5-Speed","Manual",784000
"346","Hyundai",2016,"red","suv",60578,"1st",5,"petrol","6-Speed","Manual",971000
"347","Hyundai",2016,"red","hatchback",95065,"1st",5,"petrol","5-Speed","Manual",655000
"348","Renault",2022,"white","hatchback",7342,"1st",5,"petrol","5-Speed","Automatic",539000
"349","Renault",2021,"blue","hatchback",9285,"1st",5,"petrol","5-Speed","Automatic",470000
"350","Hyundai",2017,"grey","hatchback",41443,"1st",5,"diesel","6-Speed","Manual",790000
"351","Maruti Suzuki",2015,"silver","hatchback",53848,"2nd",5,"petrol","5-Speed","Automatic",415000
"352","Maruti Suzuki",2012,"silver","hatchback",70568,"2nd",5,"petrol","5-Speed","Manual",368000
"353","Maruti Suzuki",2012,"black","sedan",61885,"1st",5,"petrol","5-Speed","Manual",457000
"354","Honda",2019,"grey","suv",16240,"1st",5,"petrol","5-Speed","Manual",894000
"355","Hyundai",2011,"red","hatchback",62840,"1st",5,"petrol","5-Speed","Manual",338000
"356","Hyundai",2011,"grey","hatchback",74710,"2nd",5,"petrol","5-Speed","Manual",342000
"357","Renault",2021,"grey","suv",19722,"1st",5,"petrol","5-Speed","Manual",986000
"358","Renault",2014,"silver","suv",85751,"1st",5,"diesel","5-Speed","Manual",637000
"359","Hyundai",2016,"white","hatchback",73251,"1st",5,"diesel","6-Speed","Manual",688000
"360","Hyundai",2018,"orange","hatchback",44188,"1st",5,"diesel","6-Speed","Automatic",816000
"361","Ford",2019,"red","hatchback",45590,"1st",5,"diesel","5-Speed","Manual",644000
"362","Ford",2019,"red","hatchback",45590,"1st",5,"diesel","5-Speed","Manual",644000
"363","Ford",2019,"red","hatchback",45590,"1st",5,"diesel","5-Speed","Manual",644000
"364","Ford",2019,"red","hatchback",45590,"1st",5,"diesel","5-Speed","Manual",644000
"365","Hyundai",2016,"blue","suv",97039,"1st",5,"diesel","6-Speed","Manual",1086000
"366","Hyundai",2016,"blue","suv",97039,"1st",5,"diesel","6-Speed","Manual",1086000
"367","Hyundai",2016,"blue","suv",97039,"1st",5,"diesel","6-Speed","Manual",1086000
"368","Hyundai",2016,"blue","suv",97039,"1st",5,"diesel","6-Speed","Manual",1086000
"369","Hyundai",2016,"silver","hatchback",14359,"1st",5,"petrol","5-Speed","Manual",674000
"370","Hyundai",2018,"white","hatchback",48670,"2nd",5,"petrol","5-Speed","Manual",350000
"371","Hyundai",2018,"red","suv",70015,"1st",5,"petrol","6-Speed","Automatic",1213000
"372","Maruti Suzuki",2011,"silver","hatchback",41517,"2nd",5,"petrol","5-Speed","Manual",275000
"373","Maruti Suzuki",2021,"grey","hatchback",14818,"1st",5,"petrol","5-Speed","Manual",533000
"374","Honda",2017,"brown","sedan",46935,"1st",5,"petrol","5-Speed","Manual",824000
"375","Hyundai",2020,"white","hatchback",30590,"1st",5,"petrol","5-Speed","Automatic",805000
"376","Hyundai",2017,"black","suv",62805,"1st",5,"petrol","6-Speed","Manual",1098000
"377","Maruti Suzuki",2017,"grey","sedan",47123,"1st",5,"petrol","5-Speed","Manual",795000
"378","Maruti Suzuki",2019,"silver","hatchback",50437,"2nd",5,"petrol","5-Speed","Manual",406000
"379","Maruti Suzuki",2017,"blue","sedan",49930,"1st",5,"petrol","5-Speed","Automatic",720000
"380","Ford",2016,"blue","suv",46485,"1st",5,"petrol","5-Speed","Automatic",732000
"381","Maruti Suzuki",2014,"white","hatchback",76306,"1st",5,"petrol","5-Speed","Automatic",406000
"382","Hyundai",2015,"blue","hatchback",80743,"1st",5,"petrol","5-Speed","Manual",622000
"383","Hyundai",2018,"red","hatchback",54836,"1st",5,"petrol","5-Speed","Automatic",742000
"384","Maruti Suzuki",2018,"blue","sedan",32170,"1st",5,"petrol","5-Speed","Automatic",699000
"385","Toyota",2011,"black","sedan",62193,"1st",5,"petrol","5-Speed","Manual",426000
"386","Hyundai",2012,"blue","hatchback",40097,"1st",5,"petrol","5-Speed","Manual",284000
"387","Honda",2015,"white","sedan",44188,"1st",5,"petrol","5-Speed","Manual",574000
"388","Hyundai",2017,"red","hatchback",86163,"2nd",5,"diesel","6-Speed","Manual",699000
"389","Hyundai",2016,"red","hatchback",50229,"1st",5,"petrol","5-Speed","Manual",605000
"390","Maruti Suzuki",2020,"blue","suv",20156,"1st",5,"petrol","5-Speed","Manual",1104000
"391","Hyundai",2016,"silver","hatchback",29122,"1st",5,"petrol","5-Speed","Manual",451000
"392","Hyundai",2016,"white","hatchback",71532,"2nd",5,"petrol","5-Speed","Manual",633000
"393","MG Motors",2020,"white","suv",36581,"1st",5,"diesel","5-Speed","Manual",1848000
"394","MG Motors",2020,"white","suv",36581,"1st",5,"diesel","5-Speed","Manual",1848000
"395","MG Motors",2020,"white","suv",36581,"1st",5,"diesel","6-Speed","Manual",1848000
"396","MG Motors",2020,"white","suv",36581,"1st",5,"diesel","6-Speed","Manual",1848000
"397","Hyundai",2016,"red","suv",37702,"2nd",5,"petrol","6-Speed","Manual",943000
"398","Hyundai",2018,"red","hatchback",30876,"1st",5,"petrol","5-Speed","Automatic",709000
"399","Volkswagen",2011,"white","hatchback",92227,"2nd",5,"petrol","5-Speed","Manual",402000
"400","Volkswagen",2017,"grey","sedan",24747,"1st",5,"petrol","5-Speed","Automatic",646000
"401","Hyundai",2013,"white","hatchback",26671,"2nd",5,"petrol","5-Speed","Manual",334000
"402","Maruti Suzuki",2013,"red","hatchback",84739,"1st",5,"diesel","5-Speed","Manual",496000
"403","Volkswagen",2017,"silver","hatchback",90423,"1st",5,"diesel","5-Speed","Manual",735000
"404","Maruti Suzuki",2015,"brown","hatchback",40632,"1st",5,"petrol","5-Speed","Manual",487000
"405","Maruti Suzuki",2013,"silver","hatchback",59010,"1st",5,"petrol","5-Speed","Manual",410000
"406","Hyundai",2018,"red","hatchback",24732,"1st",5,"petrol","5-Speed","Automatic",766000
"407","Kia",2020,"red","suv",14077,"1st",5,"petrol","6-Speed","Manual",1647000
"408","Hyundai",2013,"blue","hatchback",19600,"1st",5,"petrol","5-Speed","Manual",311000
"409","Skoda",2012,"white","sedan",93981,"2nd",5,"diesel","5-Speed","Manual",436000
"410","Hyundai",2015,"silver","hatchback",25413,"2nd",5,"petrol","5-Speed","Manual",391000
"411","Hyundai",2017,"silver","sedan",95862,"1st",5,"diesel","6-Speed","Manual",870000
"412","Maruti Suzuki",2012,"blue","hatchback",53015,"2nd",5,"petrol","5-Speed","Manual",323000
"413","Honda",2015,"maroon","hatchback",63279,"1st",5,"petrol","5-Speed","Manual",598000
"414","Hyundai",2017,"grey","sedan",73591,"1st",5,"petrol","5-Speed","Manual",589000
"415","Maruti Suzuki",2017,"white","hatchback",79503,"1st",5,"petrol","5-Speed","Automatic",464000
"416","Hyundai",2014,"red","sedan",60227,"1st",5,"diesel","6-Speed","Manual",702000
"417","Renault",2021,"blue","hatchback",5564,"1st",5,"petrol","5-Speed","Automatic",472000
"418","Renault",2017,"white","hatchback",71696,"1st",5,"petrol","5-Speed","Manual",353000
"419","Volkswagen",2011,"black","hatchback",44787,"2nd",5,"petrol","5-Speed","Manual",402000
"420","Hyundai",2017,"red","suv",68295,"2nd",5,"petrol","6-Speed","Manual",977000
"421","Maruti Suzuki",2016,"white","hatchback",38868,"2nd",5,"petrol","5-Speed","Manual",358000
"422","Maruti Suzuki",2012,"blue","hatchback",40411,"1st",5,"petrol","5-Speed","Manual",399000
"423","Hyundai",2020,"white","hatchback",17156,"1st",5,"petrol","5-Speed","Automatic",836000
"424","Ford",2017,"black","suv",12761,"2nd",5,"petrol","5-Speed","Manual",803000
"425","Maruti Suzuki",2021,"grey","hatchback",10563,"1st",5,"petrol","5-Speed","Manual",410000
"426","Hyundai",2018,"red","hatchback",13948,"1st",5,"petrol","5-Speed","Automatic",795000
"427","Hyundai",2019,"silver","sedan",6165,"1st",5,"petrol","6-Speed","Automatic",1266000
"428","Hyundai",2012,"red","hatchback",44478,"2nd",5,"petrol","5-Speed","Manual",343000
"429","Hyundai",2011,"golden","hatchback",85895,"1st",5,"petrol","5-Speed","Manual",362000
"430","Datsun",2017,"red","hatchback",42187,"1st",5,"petrol","5-Speed","Manual",300000
"431","Hyundai",2016,"blue","hatchback",88795,"1st",5,"diesel","6-Speed","Manual",694000
"432","Hyundai",2013,"grey","hatchback",45000,"2nd",5,"petrol","5-Speed","Manual",484000
"433","Honda",2018,"white","sedan",14861,"1st",5,"petrol","5-Speed","Automatic",1001000
"434","Hyundai",2014,"red","hatchback",61455,"1st",5,"petrol","5-Speed","Manual",384000
"435","Honda",2019,"brown","suv",23697,"1st",5,"petrol","5-Speed","Manual",858000
"436","Maruti Suzuki",2017,"grey","hatchback",84623,"1st",5,"petrol","5-Speed","Automatic",482000
"437","Honda",2016,"silver","hatchback",36822,"1st",5,"petrol","5-Speed","Automatic",581000
"438","Hyundai",2011,"silver","hatchback",49985,"1st",5,"petrol","5-Speed","Manual",320000
"439","Hyundai",2018,"red","suv",25411,"1st",5,"petrol","6-Speed","Manual",1176000
"440","Hyundai",2019,"white","suv",26198,"1st",5,"petrol","6-Speed","Automatic",1274000
"441","Maruti Suzuki",2016,"grey","hatchback",21812,"1st",5,"petrol","5-Speed","Manual",362000
"442","Renault",2020,"white","hatchback",15591,"1st",5,"petrol","5-Speed","Automatic",489000
"443","Honda",2015,"white","sedan",50821,"2nd",5,"petrol","5-Speed","Manual",815000
"444","Hyundai",2017,"red","suv",57167,"1st",5,"petrol","6-Speed","Manual",1064000
"445","Hyundai",2014,"silver","hatchback",62904,"1st",5,"petrol","5-Speed","Manual",389000
"446","Honda",2018,"silver","hatchback",13074,"1st",5,"petrol","5-Speed","Manual",715000
"447","Maruti Suzuki",2019,"blue","hatchback",37942,"1st",5,"diesel","5-Speed","Automatic",847000
"448","Ford",2016,"grey","suv",96471,"1st",5,"diesel","5-Speed","Manual",628000
"449","Hyundai",2015,"red","hatchback",40959,"1st",5,"petrol","5-Speed","Manual",317000
"450","Ford",2020,"white","sedan",18300,"1st",5,"petrol","5-Speed","Manual",729000
"451","Maruti Suzuki",2017,"grey","hatchback",32419,"1st",5,"petrol","5-Speed","Manual",396000
"452","Maruti Suzuki",2016,"blue","muv",35128,"1st",7,"diesel","5-Speed","Manual",949000
"453","Hyundai",2016,"grey","hatchback",36707,"1st",5,"petrol","5-Speed","Manual",453000
"454","Maruti Suzuki",2016,"grey","muv",99495,"1st",7,"diesel","5-Speed","Manual",898000
"455","Maruti Suzuki",2011,"red","hatchback",69077,"1st",5,"petrol","5-Speed","Manual",281000
"456","Hyundai",2017,"grey","hatchback",81673,"1st",5,"petrol","5-Speed","Manual",628000
"457","Hyundai",2017,"blue","hatchback",22127,"1st",5,"petrol","5-Speed","Manual",713000
"458","Maruti Suzuki",2011,"brown","hatchback",43763,"1st",5,"petrol","5-Speed","Manual",338000
"459","Maruti Suzuki",2014,"grey","hatchback",45887,"2nd",5,"petrol","5-Speed","Manual",445000
"460","Maruti Suzuki",2015,"red","hatchback",68859,"1st",5,"petrol","5-Speed","Automatic",447000
"461","Hyundai",2017,"white","hatchback",24353,"1st",5,"petrol","5-Speed","Manual",620000
"462","Ford",2017,"white","sedan",53467,"1st",5,"petrol","5-Speed","Manual",524000
"463","Hyundai",2017,"silver","sedan",18732,"1st",5,"petrol","6-Speed","Automatic",1047000
"464","Hyundai",2015,"white","hatchback",24631,"1st",5,"petrol","5-Speed","Manual",444000
"465","Maruti Suzuki",2016,"white","muv",54971,"1st",7,"diesel","5-Speed","Manual",906000
"466","Maruti Suzuki",2022,"white","hatchback",12076,"1st",5,"petrol+cng","5-Speed","Manual",686000
"467","Hyundai",2013,"white","hatchback",35425,"1st",5,"petrol","5-Speed","Manual",372000
"468","Hyundai",2016,"silver","hatchback",54734,"1st",5,"diesel","6-Speed","Manual",684000
"469","Maruti Suzuki",2015,"silver","hatchback",39807,"1st",5,"petrol","5-Speed","Manual",352000
"470","Hyundai",2014,"grey","hatchback",41667,"2nd",5,"petrol","5-Speed","Manual",392000
"471","Maruti Suzuki",2015,"brown","hatchback",28840,"1st",5,"petrol","5-Speed","Manual",489000
"472","Hyundai",2014,"blue","sedan",69402,"1st",5,"petrol","4-Speed","Automatic",551000
"473","Honda",2017,"white","hatchback",53613,"2nd",5,"petrol","7-Speed","Manual",688000
"474","Kia",2019,"white","suv",27562,"1st",5,"petrol","6-Speed","Manual",1549000
"475","Honda",2018,"brown","hatchback",14952,"1st",5,"petrol","5-Speed","Manual",710000
"476","Maruti Suzuki",2011,"white","hatchback",71380,"1st",5,"petrol","5-Speed","Manual",308000
"477","Mahindra",2015,"white","suv",44987,"1st",7,"diesel","5-Speed","Manual",848000
"478","Hyundai",2018,"grey","hatchback",34491,"1st",5,"petrol","5-Speed","Automatic",787000
"479","Hyundai",2016,"white","crossover",88321,"1st",5,"petrol","5-Speed","Automatic",638000
"480","Renault",2021,"brown","hatchback",11275,"1st",5,"petrol","5-Speed","Automatic",528000
"481","Hyundai",2013,"silver","sedan",84391,"1st",5,"petrol","4-Speed","Automatic",606000
"482","Maruti Suzuki",2012,"red","sedan",93004,"1st",5,"petrol","5-Speed","Manual",442000
"483","Maruti Suzuki",2019,"blue","sedan",23861,"2nd",5,"petrol","5-Speed","Manual",859000
"484","Hyundai",2016,"grey","hatchback",43877,"1st",5,"petrol","5-Speed","Manual",514000
"485","Honda",2015,"silver","sedan",76926,"1st",5,"petrol","5-Speed","Manual",663000
"486","Hyundai",2016,"blue","hatchback",94389,"1st",5,"petrol","5-Speed","Manual",568000
"487","Maruti Suzuki",2014,"silver","hatchback",64291,"2nd",5,"petrol","5-Speed","Manual",407000
"488","Hyundai",2017,"white","sedan",25068,"1st",5,"petrol","5-Speed","Manual",824000
"489","Renault",2020,"white","muv",27215,"1st",7,"petrol","5-Speed","Manual",739000
"490","Hyundai",2014,"blue","hatchback",62692,"2nd",5,"petrol","5-Speed","Manual",485000
"491","Hyundai",2020,"grey","sedan",16234,"1st",5,"diesel","6-Speed","Manual",1464000
"492","Hyundai",2018,"grey","hatchback",39742,"1st",5,"petrol","5-Speed","Automatic",691000
"493","Maruti Suzuki",2017,"grey","hatchback",27876,"1st",5,"petrol","5-Speed","Manual",512000
"494","Hyundai",2017,"red","hatchback",51511,"1st",5,"diesel","6-Speed","Manual",788000
"495","Maruti Suzuki",2012,"black","hatchback",82049,"1st",5,"diesel","5-Speed","Manual",457000
"496","Maruti Suzuki",2018,"blue","sedan",16257,"1st",5,"petrol","5-Speed","Automatic",755000
"497","Mahindra",2020,"white","suv",39894,"1st",5,"diesel","6-Speed","Manual",1277000
"498","Maruti Suzuki",2018,"grey","muv",24630,"1st",5,"petrol","5-Speed","Manual",452000
"499","Maruti Suzuki",2013,"red","hatchback",74834,"1st",5,"petrol","5-Speed","Manual",301000
"500","Maruti Suzuki",2011,"black","hatchback",54857,"2nd",5,"petrol","5-Speed","Manual",262000
"501","Maruti Suzuki",2013,"red","hatchback",59394,"1st",5,"petrol","5-Speed","Manual",308000
"502","Maruti Suzuki",2020,"white","sedan",8617,"1st",5,"petrol","5-Speed","Manual",1023000
"503","Ford",2018,"red","crossover",29028,"1st",5,"petrol","5-Speed","Automatic",635000
"504","Maruti Suzuki",2020,"grey","sedan",4878,"1st",5,"petrol","5-Speed","Manual",1015000
"505","Maruti Suzuki",2011,"silver","hatchback",82262,"2nd",5,"petrol","5-Speed","Manual",255000
"506","Maruti Suzuki",2011,"red","hatchback",56696,"1st",5,"petrol","5-Speed","Manual",396000
"507","Hyundai",2016,"red","suv",40249,"1st",5,"petrol","6-Speed","Manual",1011000
"508","Hyundai",2015,"red","hatchback",29169,"1st",5,"petrol","5-Speed","Manual",661000
"509","Maruti Suzuki",2014,"red","hatchback",48449,"1st",5,"petrol","5-Speed","Manual",450000
"510","Volkswagen",2011,"red","hatchback",55512,"1st",5,"petrol","5-Speed","Manual",435000
"511","Hyundai",2014,"white","sedan",81335,"2nd",5,"diesel","4-Speed","Manual",772000
"512","Maruti Suzuki",2015,"silver","hatchback",25388,"1st",5,"petrol","5-Speed","Manual",331000
"513","Renault",2021,"white","suv",17120,"1st",5,"petrol","5-Speed","Automatic",830000
"514","Renault",2021,"silver","hatchback",25170,"1st",5,"petrol","5-Speed","Automatic",485000
"515","Maruti Suzuki",2014,"brown","hatchback",67154,"2nd",5,"petrol","5-Speed","Manual",405000
"516","Maruti Suzuki",2012,"grey","hatchback",40078,"1st",5,"petrol","5-Speed","Manual",347000
"517","Maruti Suzuki",2017,"grey","hatchback",10100,"1st",5,"petrol","5-Speed","Manual",369000
"518","Hyundai",2018,"red","hatchback",23326,"1st",5,"petrol","5-Speed","Automatic",768000
"519","Honda",2016,"red","hatchback",56762,"1st",5,"petrol","5-Speed","Automatic",578000
"520","Maruti Suzuki",2021,"white","hatchback",6363,"1st",5,"petrol","5-Speed","Manual",417000
"521","Maruti Suzuki",2012,"blue","hatchback",49799,"1st",5,"petrol","5-Speed","Manual",349000
"522","Honda",2016,"white","hatchback",94873,"1st",5,"petrol","5-Speed","Automatic",576000
"523","Ford",2016,"blue","suv",69414,"1st",5,"petrol","5-Speed","Manual",629000
"524","Hyundai",2014,"red","hatchback",40450,"1st",5,"petrol","5-Speed","Manual",423000
"525","Ford",2014,"white","suv",86120,"1st",5,"diesel","5-Speed","Manual",643000
"526","Hyundai",2018,"red","hatchback",29948,"1st",5,"petrol","5-Speed","Automatic",737000
"527","Renault",2019,"grey","hatchback",22356,"1st",5,"petrol","5-Speed","Manual",425000
"528","Hyundai",2011,"grey","hatchback",77554,"1st",5,"petrol","5-Speed","Manual",330000
"529","Kia",2020,"red","suv",18499,"1st",5,"petrol","6-Speed","Manual",1369000
"530","Maruti Suzuki",2019,"grey","muv",27462,"1st",5,"petrol","5-Speed","Manual",436000
"531","Honda",2019,"red","suv",53948,"1st",5,"petrol","5-Speed","Manual",883000
"532","Kia",2020,"red","suv",20280,"1st",5,"petrol","6-Speed","Manual",1610000
"533","Hyundai",2011,"white","sedan",75713,"2nd",5,"petrol","5-Speed","Automatic",400000
"534","Maruti Suzuki",2019,"grey","hatchback",35607,"1st",5,"petrol","5-Speed","Manual",429000
"535","Maruti Suzuki",2017,"silver","muv",75728,"1st",5,"petrol","5-Speed","Manual",408000
"536","Hyundai",2015,"white","hatchback",26176,"2nd",5,"petrol","5-Speed","Manual",408000
"537","Maruti Suzuki",2018,"blue","sedan",19949,"1st",5,"petrol","5-Speed","Automatic",739000
"538","Renault",2015,"red","suv",59680,"1st",5,"diesel","5-Speed","Manual",754000
"539","Renault",2015,"red","suv",59680,"1st",5,"diesel","5-Speed","Manual",754000
"540","Renault",2015,"red","suv",59680,"1st",5,"diesel","5-Speed","Manual",754000
"541","Renault",2015,"red","suv",59680,"1st",5,"diesel","5-Speed","Manual",754000
"542","Hyundai",2014,"white","sedan",68363,"1st",5,"petrol","5-Speed","Manual",461000
"543","Renault",2020,"red","muv",12256,"1st",7,"petrol","5-Speed","Automatic",732000
"544","Renault",2019,"orange","muv",16554,"1st",7,"petrol","5-Speed","Manual",701000
"545","Hyundai",2015,"silver","hatchback",38156,"2nd",5,"petrol","5-Speed","Manual",406000
"546","Maruti Suzuki",2012,"white","hatchback",66016,"1st",5,"petrol","5-Speed","Manual",271000
"547","Hyundai",2013,"blue","hatchback",24862,"1st",5,"petrol","5-Speed","Manual",293000
"548","Toyota",2012,"silver","sedan",67312,"2nd",5,"petrol","5-Speed","Manual",368000
"549","Hyundai",2013,"red","hatchback",68842,"1st",5,"petrol","5-Speed","Manual",447000
"550","Honda",2018,"brown","suv",48924,"1st",5,"diesel","6-Speed","Manual",912000
"551","Maruti Suzuki",2011,"grey","sedan",71460,"1st",5,"petrol","5-Speed","Manual",387000
"552","Renault",2019,"red","hatchback",33661,"1st",5,"petrol","5-Speed","Manual",448000
"553","Toyota",2020,"white","sedan",33394,"2nd",5,"petrol","5-Speed","Manual",1051000
"554","Toyota",2020,"white","sedan",33394,"2nd",5,"petrol","5-Speed","Manual",1051000
"555","Toyota",2020,"white","sedan",33394,"2nd",5,"petrol","5-Speed","Manual",1051000
"556","Toyota",2020,"white","sedan",33394,"2nd",5,"petrol","5-Speed","Manual",1051000
"557","Toyota",2019,"brown","sedan",9242,"1st",5,"petrol","6-Speed","Manual",914000
"558","Toyota",2019,"brown","sedan",9242,"1st",5,"petrol","6-Speed","Manual",914000
"559","Toyota",2019,"brown","sedan",9242,"1st",5,"petrol","6-Speed","Manual",914000
"560","Toyota",2019,"brown","sedan",9242,"1st",5,"petrol","6-Speed","Manual",914000
"561","Hyundai",2014,"white","sedan",88267,"1st",5,"petrol","5-Speed","Automatic",598000
"562","MG Motors",2020,"silver","suv",13185,"1st",5,"diesel","5-Speed","Manual",1822000
"563","MG Motors",2020,"silver","suv",13185,"1st",5,"diesel","5-Speed","Manual",1822000
"564","MG Motors",2020,"silver","suv",13185,"1st",5,"diesel","6-Speed","Manual",1822000
"565","MG Motors",2020,"silver","suv",13185,"1st",5,"diesel","6-Speed","Manual",1822000
"566","Kia",2020,"white","suv",25450,"1st",5,"petrol","6-Speed","Manual",1589000
"567","Toyota",2020,"white","sedan",37283,"2nd",5,"petrol","5-Speed","Manual",1027000
"568","Toyota",2020,"white","sedan",37283,"2nd",5,"petrol","5-Speed","Manual",1027000
"569","Toyota",2020,"white","sedan",37283,"2nd",5,"petrol","5-Speed","Manual",1027000
"570","Toyota",2020,"white","sedan",37283,"2nd",5,"petrol","5-Speed","Manual",1027000
"571","Maruti Suzuki",2019,"blue","sedan",41804,"1st",5,"petrol","5-Speed","Manual",863000
"572","Maruti Suzuki",2011,"red","hatchback",72631,"1st",5,"petrol","5-Speed","Manual",315000
"573","Renault",2019,"grey","hatchback",37865,"1st",5,"petrol","5-Speed","Manual",433000
"574","Hyundai",2014,"white","hatchback",72514,"1st",5,"petrol","5-Speed","Manual",454000
"575","Renault",2021,"silver","suv",21304,"1st",5,"petrol","5-Speed","Automatic",807000
"576","Maruti Suzuki",2021,"red","hatchback",7881,"1st",5,"petrol","5-Speed","Manual",734000
"577","Mahindra",2016,"black","suv",54656,"1st",7,"diesel","5-Speed","Manual",1054000
