,case_type,age,sex,race,is_poor,bond,bond_type,prior_F,prior_M,gini,released,sentence_type,sentence,bond_NA,held_wo_bail,sentence_NA
2876,M,45.0,M,W,0.0,0.0,4,5.0,11.0,0.43,1.0,0.0,0.0,False,False,False
2877,F,52.0,M,B,1.0,5500.0,2,0.0,1.0,0.43,1.0,1.0,15.1642710472279,False,False,False
2878,F,25.0,M,B,1.0,,1,2.0,2.0,0.43,0.0,4.0,0.0,True,True,True
2879,M,32.0,M,B,0.0,1000.0,2,3.0,15.0,0.43,0.0,4.0,0.0,False,False,True
2880,F,51.0,M,B,,2500.0,2,4.0,5.0,0.43,1.0,4.0,0.0,False,False,True
2881,F,40.0,M,B,0.0,4500.0,2,2.0,2.0,0.43,1.0,2.0,132.0,False,False,False
2882,M,27.0,F,B,1.0,3500.0,2,0.0,1.0,0.43,1.0,1.0,12.1642710472279,False,False,False
2883,F,27.0,M,B,1.0,2500.0,2,0.0,8.0,0.43,1.0,4.0,0.0,False,False,True
2884,F,18.0,M,B,1.0,,1,0.0,0.0,0.43,1.0,1.0,12.0,True,True,False
2885,M,36.0,M,B,1.0,2500.0,3,0.0,0.0,0.49,1.0,4.0,0.0,False,False,True
2886,F,30.0,M,W,0.0,,1,3.0,6.0,0.49,1.0,4.0,0.0,True,True,True
2887,M,22.0,M,W,0.0,5000.0,2,0.0,0.0,0.49,1.0,1.0,12.0,False,False,False
2888,F,18.0,M,B,1.0,,1,0.0,0.0,0.49,0.0,4.0,0.0,True,True,True
2889,F,29.0,M,B,0.0,4000.0,2,0.0,0.0,0.49,1.0,0.0,36.0,False,False,False
2890,M,19.0,M,W,1.0,500.0,3,0.0,0.0,0.49,1.0,0.0,0.328542094455852,False,False,False
2891,M,30.0,M,B,0.0,750.0,2,7.0,8.0,0.49,1.0,4.0,0.0,False,False,True
2892,M,40.0,M,W,0.0,0.0,4,0.0,2.0,0.49,1.0,0.0,0.0,False,False,False
2893,F,31.0,M,W,1.0,,1,0.0,1.0,0.49,0.0,1.0,36.0,True,True,False
2894,M,26.0,F,B,1.0,1000.0,2,1.0,7.0,0.49,1.0,0.0,0.328542094455852,False,False,False
2895,F,19.0,M,B,1.0,,1,0.0,0.0,0.49,1.0,2.0,39.0,True,True,False
2896,F,27.0,M,B,1.0,5000.0,3,0.0,3.0,0.49,1.0,1.0,6.0,False,False,False
2897,M,41.0,F,W,1.0,5000.0,3,0.0,0.0,0.49,1.0,4.0,0.0,False,False,True
2898,M,33.0,F,W,1.0,,1,0.0,0.0,0.49,1.0,4.0,0.0,True,True,True
2899,M,22.0,M,W,0.0,2500.0,3,0.0,0.0,0.49,1.0,0.0,11.8213552361396,False,False,False
2900,S,55.0,M,W,1.0,,1,,,0.49,0.0,4.0,0.0,True,True,True
2901,S,19.0,M,B,1.0,,1,,,0.49,0.0,4.0,0.0,True,True,True
2902,F,29.0,M,W,0.0,1000.0,2,0.0,4.0,0.49,1.0,0.0,12.0,False,False,False
2903,F,30.0,M,B,0.0,,1,10.0,4.0,0.49,0.0,1.0,36.0,True,True,False
2904,M,23.0,M,B,0.0,0.0,4,0.0,0.0,0.49,1.0,0.0,0.0,False,False,False
2905,F,18.0,M,B,1.0,,1,0.0,0.0,0.49,1.0,4.0,0.0,True,True,True
2906,M,42.0,M,B,1.0,2500.0,3,0.0,2.0,0.49,1.0,4.0,0.0,False,False,True
2907,M,45.0,M,B,1.0,,1,0.0,0.0,0.49,1.0,4.0,0.0,True,True,True
2908,F,51.0,M,W,1.0,,1,0.0,1.0,0.49,1.0,4.0,0.0,True,True,True
2909,F,18.0,M,B,1.0,,1,0.0,0.0,0.49,0.0,0.0,60.0,True,True,False
2910,F,27.0,F,B,0.0,5000.0,3,0.0,0.0,0.49,1.0,4.0,0.0,False,False,True
2911,F,48.0,F,B,0.0,,1,8.0,29.0,0.42,0.0,4.0,0.0,True,True,True
2912,S,45.0,F,W,1.0,2500.0,3,0.0,0.0,0.42,1.0,4.0,0.0,False,False,True
2913,M,38.0,F,W,1.0,,1,3.0,5.0,0.42,1.0,4.0,0.0,True,True,True
2914,S,36.0,F,B,1.0,,1,0.0,1.0,0.42,0.0,4.0,0.0,True,True,True
2915,F,29.0,F,B,1.0,1000.0,2,0.0,1.0,0.42,1.0,0.0,6.0,False,False,False
2916,M,26.0,M,B,0.0,,1,0.0,2.0,0.42,1.0,0.0,6.0,True,True,False
2917,F,31.0,M,B,0.0,,1,0.0,0.0,0.42,1.0,4.0,0.0,True,True,True
2918,M,34.0,F,W,1.0,1500.0,2,0.0,4.0,0.54,1.0,1.0,6.0,False,False,False
2919,F,31.0,M,B,1.0,,1,1.0,16.0,0.54,0.0,4.0,0.0,True,True,True
2920,M,25.0,M,B,1.0,500.0,2,0.0,3.0,0.54,1.0,1.0,0.328542094455852,False,False,False
2921,F,41.0,M,B,1.0,,1,14.0,10.0,0.54,1.0,4.0,0.0,True,True,True
2922,F,18.0,M,B,1.0,2000.0,2,0.0,0.0,0.54,1.0,0.0,24.0,False,False,False
2923,F,51.0,M,B,1.0,,1,0.0,4.0,0.54,1.0,4.0,0.0,True,True,True
2924,F,18.0,M,B,1.0,5000.0,2,0.0,0.0,0.54,1.0,0.0,24.0,False,False,False
2925,S,19.0,M,B,1.0,1500.0,3,0.0,0.0,0.54,1.0,1.0,0.328542094455852,False,False,False
2926,M,24.0,F,B,1.0,1500.0,3,0.0,1.0,0.54,1.0,4.0,0.0,False,False,True
2927,F,22.0,M,W,0.0,3500.0,3,0.0,0.0,0.54,1.0,1.0,36.0,False,False,False
2928,F,20.0,M,B,1.0,3000.0,2,0.0,1.0,0.54,1.0,0.0,24.0,False,False,False
2929,F,62.0,M,B,1.0,,1,2.0,5.0,0.54,1.0,0.0,60.0,True,True,False
2930,M,35.0,F,B,1.0,1000.0,2,1.0,6.0,0.54,0.0,1.0,0.328542094455852,False,False,False
2931,F,31.0,F,B,1.0,,1,0.0,1.0,0.54,1.0,4.0,0.0,True,True,True
2932,M,21.0,M,B,1.0,0.0,4,0.0,0.0,0.54,1.0,4.0,0.0,False,False,True
2933,F,29.0,M,B,1.0,2000.0,2,0.0,3.0,0.54,1.0,1.0,12.0,False,False,False
2934,F,25.0,M,B,1.0,2000.0,3,0.0,3.0,0.47,1.0,1.0,0.985626283367556,False,False,False
2935,M,25.0,F,W,1.0,,1,0.0,0.0,0.47,0.0,1.0,0.328542094455852,True,True,False
2936,F,47.0,F,B,1.0,750.0,3,3.0,7.0,0.47,1.0,4.0,0.0,False,False,True
2937,F,40.0,M,W,1.0,,1,9.0,5.0,0.47,0.0,2.0,252.0,True,True,False
2938,M,51.0,M,W,0.0,700.0,2,0.0,17.0,0.47,0.0,1.0,2.0,False,False,False
2939,F,41.0,F,W,1.0,,1,4.0,8.0,0.47,0.0,1.0,36.0,True,True,False
2940,F,30.0,M,B,1.0,,1,8.0,11.0,0.47,0.0,1.0,12.394250513347,True,True,False
2941,F,24.0,M,W,1.0,1000.0,2,1.0,2.0,0.47,1.0,1.0,24.0,False,False,False
2942,F,44.0,M,W,0.0,,1,3.0,5.0,0.44,1.0,4.0,0.0,True,True,True
2943,M,28.0,M,W,1.0,500.0,3,0.0,1.0,0.44,1.0,4.0,0.0,False,False,True
2944,F,26.0,M,B,0.0,,1,0.0,0.0,0.44,1.0,4.0,0.0,True,True,True
2945,S,46.0,M,W,1.0,500.0,3,0.0,1.0,0.44,1.0,0.0,0.328542094455852,False,False,False
2946,F,25.0,M,B,1.0,,1,0.0,0.0,0.44,0.0,0.0,60.0,True,True,False
2947,S,52.0,M,W,0.0,1000.0,3,28.0,5.0,0.44,1.0,4.0,0.0,False,False,True
2948,S,60.0,F,W,0.0,0.0,4,0.0,0.0,0.44,1.0,4.0,0.0,False,False,True
2949,F,38.0,F,W,1.0,,1,0.0,0.0,0.44,1.0,0.0,36.0,True,True,False
2950,S,52.0,M,W,0.0,500.0,3,1.0,8.0,0.44,1.0,1.0,0.328542094455852,False,False,False
2951,M,55.0,F,B,0.0,0.0,4,2.0,20.0,0.43,1.0,0.0,0.0,False,False,False
2952,M,53.0,M,W,1.0,2500.0,2,6.0,12.0,0.43,1.0,1.0,3.0,False,False,False
2953,F,26.0,F,B,0.0,,1,5.0,2.0,0.43,1.0,2.0,108.0,True,True,False
2954,F,26.0,M,B,1.0,,1,0.0,5.0,0.42,0.0,0.0,0.0,True,True,False
2955,F,35.0,M,B,0.0,,1,13.0,4.0,0.42,0.0,0.0,36.0,True,True,False
2956,F,35.0,M,B,1.0,,1,3.0,15.0,0.42,0.0,1.0,60.0,True,True,False
2957,M,30.0,M,W,0.0,0.0,4,0.0,2.0,0.42,1.0,0.0,0.0,False,False,False
2958,M,22.0,M,B,0.0,1000.0,3,0.0,1.0,0.42,1.0,0.0,0.0,False,False,False
2959,M,45.0,M,B,0.0,0.0,4,0.0,0.0,0.42,1.0,0.0,0.0,False,False,False
2960,M,31.0,M,W,0.0,0.0,4,0.0,1.0,0.42,1.0,0.0,0.0,False,False,False
2961,M,20.0,M,B,0.0,2000.0,2,0.0,0.0,0.42,1.0,0.0,3.0,False,False,False
2962,M,28.0,M,W,0.0,1500.0,3,0.0,0.0,0.42,1.0,0.0,12.1642710472279,False,False,False
2963,M,24.0,M,B,0.0,0.0,4,0.0,0.0,0.42,1.0,0.0,0.0,False,False,False
2964,F,19.0,M,W,0.0,4000.0,3,0.0,0.0,0.42,1.0,0.0,12.0,False,False,False
2965,M,52.0,M,B,0.0,,1,0.0,12.0,0.42,0.0,1.0,42.4928131416838,True,True,False
2966,M,25.0,M,B,0.0,2500.0,3,0.0,2.0,0.42,1.0,4.0,0.0,False,False,True
2967,M,27.0,M,B,0.0,3500.0,2,0.0,4.0,0.42,1.0,0.0,10.1642710472279,False,False,False
2968,M,23.0,F,B,0.0,2500.0,3,0.0,0.0,0.42,1.0,4.0,0.0,False,False,True
2969,M,31.0,M,B,1.0,,1,0.0,1.0,0.42,0.0,0.0,0.0,True,True,False
2970,F,57.0,M,B,1.0,,1,5.0,4.0,0.42,0.0,2.0,36.0,True,True,False
2971,M,31.0,F,W,1.0,,1,0.0,5.0,0.42,1.0,0.0,11.1642710472279,True,True,False
2972,M,22.0,F,B,1.0,,1,0.0,0.0,0.42,1.0,0.0,0.0,True,True,False
2973,M,49.0,M,B,1.0,500.0,2,0.0,2.0,0.42,0.0,1.0,12.1642710472279,False,False,False
2974,M,31.0,M,W,1.0,2000.0,2,3.0,11.0,0.42,1.0,4.0,0.0,False,False,True
2975,M,36.0,M,W,0.0,,1,0.0,7.0,0.42,1.0,0.0,0.0,True,True,False
2976,M,28.0,M,B,1.0,3000.0,3,0.0,0.0,0.42,1.0,0.0,3.0,False,False,False
2977,M,48.0,F,W,0.0,2500.0,2,0.0,3.0,0.42,1.0,4.0,0.0,False,False,True
2978,S,21.0,M,B,0.0,2500.0,2,0.0,2.0,0.42,1.0,4.0,0.0,False,False,True
2979,M,37.0,F,W,0.0,1500.0,2,0.0,0.0,0.42,1.0,4.0,0.0,False,False,True
2980,M,18.0,F,B,,2500.0,3,0.0,0.0,0.42,1.0,,,False,False,True
2981,M,23.0,M,W,1.0,500.0,2,0.0,1.0,0.43,0.0,1.0,2.0,False,False,False
2982,F,23.0,F,W,1.0,0.0,5,0.0,0.0,0.43,1.0,0.0,6.0,False,False,False
2983,F,28.0,F,B,1.0,1000.0,2,0.0,9.0,0.43,1.0,2.0,60.0,False,False,False
2984,M,19.0,M,W,1.0,,1,0.0,1.0,0.52,0.0,4.0,0.0,True,True,True
2985,F,22.0,M,B,1.0,,1,0.0,2.0,0.52,0.0,2.0,60.0,True,True,False
2986,M,32.0,M,W,0.0,2500.0,3,2.0,8.0,0.45,1.0,4.0,0.0,False,False,True
2987,M,64.0,M,W,0.0,0.0,4,0.0,0.0,0.45,1.0,0.0,0.0,False,False,False
2988,F,34.0,M,W,0.0,5000.0,2,0.0,3.0,0.47,1.0,4.0,0.0,False,False,True
2989,M,58.0,M,W,1.0,2500.0,3,6.0,2.0,0.47,1.0,0.0,0.985626283367556,False,False,False
2990,M,25.0,M,B,1.0,1000.0,3,0.0,0.0,0.44,1.0,0.0,3.32854209445585,False,False,False
2991,F,25.0,F,W,1.0,,1,0.0,0.0,0.44,1.0,0.0,5.91375770020534,True,True,False
2992,S,49.0,F,W,1.0,1000.0,2,0.0,1.0,0.44,1.0,4.0,0.0,False,False,True
2993,M,25.0,M,B,0.0,1500.0,3,1.0,4.0,0.38,1.0,4.0,0.0,False,False,True
2994,M,26.0,M,B,1.0,1500.0,3,0.0,4.0,0.38,1.0,1.0,9.0,False,False,False
2995,S,18.0,M,W,1.0,,1,0.0,0.0,0.42,0.0,0.0,0.0,True,True,False
2996,S,29.0,M,B,0.0,,1,0.0,1.0,0.44,0.0,4.0,0.0,True,True,True
2997,M,22.0,M,B,0.0,2000.0,3,0.0,1.0,0.44,1.0,4.0,0.0,False,False,True
2998,M,40.0,F,W,0.0,0.0,4,0.0,1.0,0.44,1.0,0.0,0.0,False,False,False
2999,F,22.0,M,B,1.0,2500.0,2,0.0,0.0,0.44,1.0,2.0,48.0,False,False,False
3000,F,25.0,M,B,0.0,1500.0,2,0.0,0.0,0.44,1.0,4.0,0.0,False,False,True
3001,F,38.0,M,B,1.0,,1,0.0,1.0,0.44,1.0,1.0,24.0,True,True,False
3002,F,27.0,F,B,1.0,2000.0,3,0.0,0.0,0.44,1.0,4.0,0.0,False,False,True
3003,M,35.0,M,A,,2000.0,2,0.0,1.0,0.44,1.0,0.0,6.0,False,False,False
3004,F,30.0,M,B,0.0,,1,2.0,4.0,0.44,0.0,2.0,12.0,True,True,False
3005,M,61.0,M,W,0.0,0.0,4,1.0,9.0,0.44,1.0,0.0,0.0,False,False,False
3006,M,28.0,F,W,0.0,0.0,4,0.0,0.0,0.44,1.0,0.0,0.0,False,False,False
3007,F,24.0,M,W,0.0,1000.0,3,0.0,0.0,0.44,1.0,4.0,0.0,False,False,True
3008,F,20.0,F,W,1.0,4000.0,3,0.0,0.0,0.44,1.0,1.0,36.0,False,False,False
3009,F,34.0,F,B,1.0,5000.0,2,5.0,1.0,0.44,1.0,1.0,24.0,False,False,False
3010,M,39.0,M,W,1.0,3000.0,2,3.0,2.0,0.44,0.0,1.0,0.328542094455852,False,False,False
3011,M,21.0,F,B,,1000.0,3,0.0,0.0,0.44,1.0,4.0,0.0,False,False,True
3012,F,26.0,M,B,0.0,15000.0,2,1.0,1.0,0.44,0.0,0.0,15.0,False,False,False
3013,S,34.0,M,B,,,1,0.0,0.0,0.44,0.0,4.0,0.0,True,True,True
3014,F,21.0,M,W,0.0,1000.0,3,0.0,0.0,0.44,1.0,0.0,24.0,False,False,False
3015,S,37.0,M,B,0.0,,1,,,0.44,0.0,4.0,0.0,True,True,True
3016,S,62.0,M,W,1.0,,1,0.0,0.0,0.44,1.0,0.0,0.0,True,True,False
3017,F,35.0,M,W,1.0,,1,0.0,1.0,0.44,1.0,4.0,0.0,True,True,True
3018,F,36.0,F,W,1.0,0.0,5,3.0,10.0,0.44,1.0,2.0,60.0,False,False,False
3019,F,51.0,M,W,0.0,1500.0,3,1.0,0.0,0.44,1.0,0.0,12.1642710472279,False,False,False
3020,F,27.0,M,W,1.0,,1,0.0,7.0,0.43,1.0,4.0,0.0,True,True,True
3021,F,29.0,M,W,0.0,,1,28.0,9.0,0.45,0.0,0.0,24.0,True,True,False
3022,F,23.0,M,W,0.0,,1,5.0,14.0,0.45,0.0,1.0,12.0,True,True,False
3023,F,29.0,M,W,0.0,,1,0.0,2.0,0.45,0.0,0.0,72.0,True,True,False
3024,F,62.0,M,W,0.0,3000.0,3,0.0,0.0,0.45,1.0,0.0,24.0,False,False,False
3025,F,43.0,M,W,1.0,,1,0.0,5.0,0.45,0.0,0.0,60.0,True,True,False
3026,F,28.0,M,W,0.0,2500.0,2,0.0,10.0,0.45,1.0,1.0,12.0,False,False,False
3027,F,37.0,M,W,0.0,,1,0.0,0.0,0.45,0.0,4.0,0.0,True,True,True
3028,F,27.0,M,B,1.0,2500.0,3,0.0,9.0,0.44,1.0,1.0,36.0,False,False,False
3029,S,53.0,M,B,1.0,,1,0.0,4.0,0.44,0.0,1.0,5.0,True,True,False
3030,S,36.0,F,W,0.0,2500.0,3,4.0,2.0,0.48,1.0,4.0,0.0,False,False,True
3031,S,25.0,M,W,1.0,1000.0,3,0.0,2.0,0.48,1.0,4.0,0.0,False,False,True
3032,M,29.0,M,W,1.0,2500.0,3,0.0,0.0,0.48,1.0,0.0,12.0,False,False,False
3033,M,28.0,F,W,1.0,3500.0,3,0.0,5.0,0.48,1.0,0.0,12.0,False,False,False
3034,F,30.0,M,W,1.0,,1,4.0,2.0,0.44,0.0,1.0,12.0,True,True,False
3035,F,32.0,M,W,1.0,,1,0.0,3.0,0.44,1.0,1.0,36.0,True,True,False
3036,F,52.0,M,W,1.0,,1,5.0,8.0,0.44,0.0,1.0,48.0,True,True,False
3037,F,54.0,F,W,1.0,2500.0,2,0.0,0.0,0.39,1.0,0.0,36.0,False,False,False
3038,F,37.0,F,W,1.0,5000.0,2,0.0,0.0,0.44,1.0,4.0,0.0,False,False,True
3039,F,29.0,F,W,1.0,3500.0,3,0.0,3.0,0.46,1.0,4.0,0.0,False,False,True
3040,M,41.0,M,W,0.0,500.0,2,0.0,5.0,0.41,0.0,0.0,0.0,False,False,False
3041,M,31.0,M,B,1.0,2500.0,2,2.0,8.0,0.41,1.0,0.0,0.0,False,False,False
3042,F,44.0,F,W,0.0,,1,0.0,0.0,0.41,1.0,4.0,0.0,True,True,True
3043,M,19.0,M,B,0.0,1000.0,3,0.0,0.0,0.41,1.0,4.0,0.0,False,False,True
3044,F,47.0,F,W,1.0,9000.0,2,10.0,14.0,0.41,1.0,0.0,120.0,False,False,False
3045,M,19.0,M,W,1.0,5000.0,3,0.0,2.0,0.41,1.0,1.0,3.0,False,False,False
3046,F,34.0,M,W,1.0,4500.0,3,0.0,1.0,0.41,1.0,4.0,0.0,False,False,True
3047,M,51.0,M,W,1.0,,1,0.0,3.0,0.41,1.0,4.0,0.0,True,True,True
3048,M,26.0,M,W,1.0,,1,0.0,1.0,0.41,0.0,4.0,0.0,True,True,True
3049,S,41.0,M,W,1.0,2000.0,2,0.0,15.0,0.41,1.0,0.0,0.0,False,False,False
3050,S,38.0,M,W,1.0,,1,7.0,5.0,0.41,0.0,0.0,0.0,True,True,False
3051,F,38.0,M,W,0.0,,1,5.0,1.0,0.41,0.0,1.0,36.0,True,True,False
3052,M,28.0,M,B,0.0,,1,0.0,6.0,0.41,0.0,4.0,0.0,True,True,True
3053,M,28.0,M,W,1.0,7500.0,3,4.0,5.0,0.41,1.0,1.0,6.0,False,False,False
3054,M,33.0,M,B,1.0,,1,4.0,5.0,0.41,0.0,1.0,15.0,True,True,False
3055,M,52.0,F,W,1.0,2000.0,3,0.0,0.0,0.41,1.0,0.0,6.0,False,False,False
3056,S,27.0,M,W,0.0,,1,1.0,2.0,0.41,1.0,0.0,5.49281314168378,True,True,False
3057,F,31.0,M,W,1.0,10000.0,2,0.0,0.0,0.41,0.0,2.0,300.0,False,False,False
3058,S,40.0,M,W,1.0,,1,0.0,3.0,0.41,0.0,4.0,0.0,True,True,True
3059,M,27.0,M,W,1.0,2500.0,3,0.0,0.0,0.45,1.0,1.0,3.94250513347023,False,False,False
3060,M,29.0,M,W,1.0,2500.0,3,0.0,1.0,0.45,1.0,0.0,3.0,False,False,False
3061,M,24.0,M,W,1.0,2000.0,3,0.0,6.0,0.45,1.0,0.0,3.0,False,False,False
3062,S,25.0,F,W,0.0,0.0,4,0.0,1.0,0.39,1.0,4.0,0.0,False,False,True
3063,F,28.0,M,W,1.0,2000.0,2,0.0,0.0,0.42,1.0,0.0,3.0,False,False,False
3064,F,55.0,M,W,0.0,2000.0,2,0.0,2.0,0.42,1.0,4.0,0.0,False,False,True
3065,M,46.0,M,W,0.0,0.0,4,0.0,4.0,0.42,1.0,0.0,0.0,False,False,False
3066,F,38.0,M,W,1.0,,1,3.0,9.0,0.42,0.0,4.0,0.0,True,True,True
3067,F,29.0,F,W,0.0,,1,3.0,9.0,0.55,1.0,1.0,60.0,True,True,False
3068,S,55.0,M,W,0.0,500.0,2,5.0,7.0,0.55,0.0,4.0,0.0,False,False,True
3069,M,40.0,M,B,1.0,1000.0,2,2.0,5.0,0.43,1.0,4.0,0.0,False,False,True
3070,F,44.0,M,W,1.0,1500.0,2,0.0,3.0,0.42,1.0,0.0,12.0,False,False,False
3071,S,21.0,M,B,1.0,3500.0,2,0.0,0.0,0.42,1.0,0.0,0.0,False,False,False
3072,S,26.0,M,B,1.0,,1,2.0,3.0,0.42,0.0,4.0,0.0,True,True,True
3073,F,19.0,M,B,1.0,,1,0.0,0.0,0.42,1.0,4.0,0.0,True,True,True
3074,M,46.0,M,W,0.0,0.0,4,0.0,3.0,0.42,1.0,0.0,0.0,False,False,False
3075,M,18.0,M,B,1.0,,1,0.0,0.0,0.42,1.0,4.0,0.0,True,True,True
3076,M,33.0,M,W,1.0,2500.0,3,0.0,0.0,0.42,1.0,0.0,8.0,False,False,False
3077,F,34.0,M,W,0.0,,1,0.0,0.0,0.42,1.0,4.0,0.0,True,True,True
3078,M,31.0,M,W,0.0,1000.0,2,0.0,8.0,0.42,1.0,4.0,0.0,False,False,True
3079,F,32.0,F,W,0.0,,1,0.0,0.0,0.42,1.0,4.0,0.0,True,True,True
3080,F,26.0,F,W,0.0,,1,0.0,0.0,0.42,1.0,0.0,12.0,True,True,False
3081,F,34.0,M,W,1.0,2000.0,2,0.0,0.0,0.42,1.0,1.0,6.0,False,False,False
3082,M,26.0,M,W,1.0,,1,1.0,1.0,0.42,0.0,1.0,11.0,True,True,False
3083,F,24.0,M,B,1.0,,1,0.0,0.0,0.42,1.0,4.0,0.0,True,True,True
3084,M,30.0,F,W,0.0,3000.0,3,0.0,2.0,0.42,1.0,1.0,6.0,False,False,False
3085,F,24.0,M,A,0.0,2500.0,3,0.0,0.0,0.42,1.0,4.0,0.0,False,False,True
3086,F,28.0,M,W,1.0,,1,0.0,0.0,0.42,1.0,0.0,6.0,True,True,False
3087,M,50.0,F,W,0.0,0.0,4,0.0,0.0,0.42,1.0,0.0,0.0,False,False,False
3088,S,54.0,M,B,1.0,,1,3.0,9.0,0.42,0.0,4.0,0.0,True,True,True
3089,F,58.0,M,W,0.0,2000.0,3,0.0,3.0,0.42,1.0,4.0,0.0,False,False,True
3090,M,45.0,M,W,0.0,2000.0,3,0.0,1.0,0.42,1.0,0.0,0.0,False,False,False
3091,M,26.0,M,B,0.0,,1,0.0,1.0,0.42,1.0,4.0,0.0,True,True,True
3092,F,42.0,M,B,1.0,,1,1.0,1.0,0.42,1.0,0.0,60.0,True,True,False
3093,M,29.0,M,B,0.0,1500.0,2,0.0,0.0,0.42,1.0,4.0,0.0,False,False,True
3094,M,29.0,M,B,0.0,1000.0,3,0.0,0.0,0.42,1.0,0.0,0.0,False,False,False
3095,S,30.0,M,W,0.0,,1,0.0,1.0,0.42,1.0,4.0,0.0,True,True,True
3096,M,53.0,F,A,0.0,2000.0,3,0.0,0.0,0.42,1.0,4.0,0.0,False,False,True
3097,F,29.0,M,B,1.0,,1,0.0,2.0,0.42,0.0,1.0,12.0,True,True,False
3098,F,20.0,F,W,0.0,8000.0,3,0.0,0.0,0.42,1.0,0.0,6.0,False,False,False
3099,M,29.0,M,B,0.0,,1,0.0,0.0,0.42,0.0,4.0,0.0,True,True,True
3100,M,28.0,M,W,0.0,1500.0,3,0.0,2.0,0.42,1.0,4.0,0.0,False,False,True
3101,F,19.0,M,W,1.0,,1,0.0,0.0,0.42,0.0,0.0,60.0,True,True,False
3102,M,21.0,F,B,0.0,1000.0,3,0.0,0.0,0.42,1.0,0.0,0.0,False,False,False
3103,F,27.0,M,A,0.0,,1,0.0,0.0,0.42,1.0,0.0,12.0,True,True,False
3104,M,23.0,M,B,1.0,4000.0,3,0.0,1.0,0.42,1.0,0.0,0.328542094455852,False,False,False
3105,F,50.0,M,W,0.0,,1,0.0,2.0,0.42,1.0,0.0,24.0,True,True,False
3106,F,26.0,F,B,1.0,,1,0.0,2.0,0.42,1.0,1.0,8.0,True,True,False
3107,M,32.0,M,A,0.0,1500.0,3,0.0,1.0,0.42,1.0,0.0,0.985626283367556,False,False,False
3108,F,36.0,M,W,0.0,5000.0,3,0.0,5.0,0.42,1.0,4.0,0.0,False,False,True
3109,F,26.0,M,B,0.0,,1,2.0,1.0,0.42,0.0,2.0,36.0,True,True,False
3110,S,49.0,M,W,1.0,1500.0,2,0.0,1.0,0.42,1.0,4.0,0.0,False,False,True
3111,M,20.0,M,W,0.0,0.0,4,0.0,0.0,0.42,1.0,0.0,0.0,False,False,False
3112,M,18.0,M,W,0.0,1000.0,2,0.0,0.0,0.42,1.0,4.0,0.0,False,False,True
3113,M,24.0,F,W,1.0,,1,2.0,2.0,0.42,0.0,1.0,3.0,True,True,False
3114,F,36.0,F,W,1.0,,1,0.0,1.0,0.42,0.0,1.0,24.0,True,True,False
3115,M,45.0,M,W,0.0,0.0,4,0.0,0.0,0.42,1.0,4.0,0.0,False,False,True
3116,M,35.0,M,W,0.0,2500.0,3,0.0,3.0,0.44,1.0,4.0,0.0,False,False,True
3117,F,35.0,M,W,1.0,,1,3.0,6.0,0.39,0.0,2.0,24.0,True,True,False
3118,S,50.0,F,W,0.0,4000.0,2,0.0,0.0,0.39,1.0,4.0,0.0,False,False,True
3119,F,33.0,F,W,1.0,,1,1.0,2.0,0.4,1.0,1.0,53.0,True,True,False
3120,M,35.0,F,W,1.0,2000.0,3,0.0,5.0,0.4,1.0,4.0,0.0,False,False,True
3121,M,58.0,M,W,0.0,2000.0,3,1.0,2.0,0.46,1.0,4.0,0.0,False,False,True
3122,M,31.0,M,B,0.0,2000.0,3,0.0,0.0,0.41,1.0,4.0,0.0,False,False,True
3123,M,39.0,M,W,0.0,2000.0,3,4.0,3.0,0.41,1.0,4.0,0.0,False,False,True
3124,F,20.0,M,W,1.0,5000.0,3,0.0,0.0,0.41,1.0,0.0,0.985626283367556,False,False,False
3125,S,30.0,M,B,1.0,2500.0,2,0.0,1.0,0.4,1.0,1.0,6.0,False,False,False
3126,F,50.0,M,W,1.0,1000.0,3,0.0,2.0,0.44,1.0,0.0,0.328542094455852,False,False,False
3127,M,26.0,F,W,1.0,,1,0.0,5.0,0.44,1.0,4.0,0.0,True,True,True
3128,F,35.0,F,W,1.0,2500.0,2,5.0,1.0,0.39,1.0,0.0,59.6632443531827,False,False,False
3129,S,27.0,M,W,0.0,1000.0,2,0.0,0.0,0.39,1.0,1.0,0.328542094455852,False,False,False
3130,F,45.0,M,B,0.0,,1,0.0,0.0,0.39,1.0,1.0,11.9917864476386,True,True,False
3131,M,48.0,M,W,1.0,2500.0,3,0.0,0.0,0.39,1.0,1.0,6.0,False,False,False
3132,F,55.0,M,W,1.0,1500.0,2,0.0,0.0,0.39,1.0,2.0,240.0,False,False,False
3133,S,29.0,M,W,1.0,1000.0,2,0.0,1.0,0.39,0.0,1.0,0.328542094455852,False,False,False
3134,F,49.0,M,B,1.0,,1,1.0,4.0,0.39,1.0,4.0,0.0,True,True,True
3135,M,23.0,F,W,1.0,0.0,5,0.0,1.0,0.46,1.0,0.0,12.0,False,False,False
3136,S,33.0,M,B,1.0,1500.0,2,0.0,5.0,0.46,1.0,1.0,0.328542094455852,False,False,False
3137,F,25.0,F,B,1.0,4000.0,3,0.0,0.0,0.46,1.0,0.0,3.0,False,False,False
3138,F,29.0,M,B,1.0,1500.0,2,0.0,0.0,0.46,1.0,4.0,0.0,False,False,True
3139,F,23.0,M,W,0.0,3000.0,3,0.0,0.0,0.46,1.0,4.0,0.0,False,False,True
