"","Rating","Size","Sector","avg_salary","job_state"
"446",4.4,"1 to 50 employees","Information Technology",109," VA"
"447",3.7,"1001 to 5000 employees","Information Technology",177," CA"
"448",4.7,"201 to 500 employees","Aerospace & Defense",107," VA"
"449",4.1,"501 to 1000 employees","Information Technology",154.5," CA"
"450",4,"1 to 50 employees","Accounting & Legal",113.5," CA"
"451",3.5,"1001 to 5000 employees","Insurance",124.5," NC"
"452",2.5,"1 to 50 employees","Biotech & Pharmaceuticals",143.5," CA"
"453",3.9,"1 to 50 employees","Information Technology",113.5," CA"
"454",3.4,"10000+ employees","Aerospace & Defense",101.5," VA"
"455",3.6,"10000+ employees","Manufacturing",73," NY"
"456",3.5,"10000+ employees","Business Services",80.5," NY"
"458",2.9,"51 to 200 employees","Business Services",114," CA"
"459",3.5,"51 to 200 employees","Consumer Services",139.5," CA"
"460",4.8,"1 to 50 employees","Information Technology",145.5," NY"
"461",4,"201 to 500 employees","Finance",87," NY"
"462",4.2,"201 to 500 employees","Finance",100.5," MA"
"463",3.8,"10000+ employees","Information Technology",147," NY"
"464",3.7,"201 to 500 employees","Insurance",110.5," NY"
"465",3.9,"501 to 1000 employees","Finance",49," PA"
"466",4.6,"51 to 200 employees","Business Services",94," MA"
"467",4.3,"1001 to 5000 employees","Information Technology",123.5," NY"
"468",3.3,"10000+ employees","Health Care",84.5," NY"
"469",3.7,"501 to 1000 employees","Information Technology",71," VA"
"470",4,"10000+ employees","Information Technology",73," OR"
"471",3.6,"5001 to 10000 employees","Insurance",101," MA"
"472",3.9,"201 to 500 employees","Information Technology",181," CA"
"473",3.7,"10000+ employees","Aerospace & Defense",109.5," CA"
"474",3.7,"10000+ employees","Information Technology",184.5," WA"
"475",3.9,"201 to 500 employees","Information Technology",165," NY"
"476",3.7,"10000+ employees","Information Technology",61," IL"
"477",4.1,"51 to 200 employees","Information Technology",205," CA"
"478",3.1,"1001 to 5000 employees","Education",59.5," NY"
"479",3.1,"5001 to 10000 employees","Manufacturing",103.5," KY"
"480",3,"10000+ employees","Information Technology",62.5," CT"
"481",3.6,"5001 to 10000 employees","Insurance",63," MA"
"482",3.6,"1 to 50 employees","Health Care",66," NY"
"483",3.5,"501 to 1000 employees","Health Care",94.5," CA"
"484",4.2,"51 to 200 employees","Education",75.5," NY"
"485",4,"501 to 1000 employees","Aerospace & Defense",87," VA"
"486",3.9,"10000+ employees","Biotech & Pharmaceuticals",140," MD"
"487",3.7,"201 to 500 employees","Information Technology",86," MD"
"488",4.4,"1 to 50 employees","Information Technology",116.5," CA"
"489",3.5,"1001 to 5000 employees","Biotech & Pharmaceuticals",154.5," MA"
"490",3.7,"501 to 1000 employees","Finance",87," KS"
"491",3.6,"1001 to 5000 employees","Arts, Entertainment & Recreation",48.5," CA"
"492",3.4,"501 to 1000 employees","Information Technology",80," TX"
"493",4,"1001 to 5000 employees","Health Care",21.5," TX"
"494",2.4,"501 to 1000 employees","Manufacturing",52.5," IL"
"495",3.7,"10000+ employees","Aerospace & Defense",173," CA"
"496",3.5,"501 to 1000 employees","Biotech & Pharmaceuticals",68.5," AZ"
"497",4.4,"1001 to 5000 employees","Finance",172," NY"
"498",3.3,"10000+ employees","Insurance",114.5," MA"
"499",3.9,"10000+ employees","Biotech & Pharmaceuticals",95," MD"
"500",3.2,"5001 to 10000 employees","Government",69.5," MA"
"501",3.2,"501 to 1000 employees","Business Services",64.5," NY"
"502",2.1,"201 to 500 employees","Biotech & Pharmaceuticals",111.5," CA"
"503",4,"501 to 1000 employees","Consumer Services",97.5," NY"
"504",3.7,"10000+ employees","Biotech & Pharmaceuticals",154.5," MA"
"505",2.6,"501 to 1000 employees","Education",124," PA"
"506",3.4,"201 to 500 employees","Health Care",95," NY"
"507",4.4,"201 to 500 employees","Business Services",128.5," IL"
"508",3.2,"501 to 1000 employees","Information Technology",194," CA"
"509",3.5,"201 to 500 employees","Business Services",104.5," NY"
"510",3.7,"501 to 1000 employees","Health Care",31.5," CO"
"511",4.2,"201 to 500 employees","Information Technology",85.5," NC"
"512",4.2,"10000+ employees","Non-Profit",50," UT"
"513",3.1,"1001 to 5000 employees","Media",113," CA"
"514",3.9,"10000+ employees","Biotech & Pharmaceuticals",90.5," MA"
"515",4.3,"51 to 200 employees","Information Technology",153," CA"
"516",3.3,"1001 to 5000 employees","Business Services",123.5," CA"
"517",3.9,"201 to 500 employees","Information Technology",47," NY"
"518",3.5,"501 to 1000 employees","Health Care",64," CA"
"519",4,"10000+ employees","Information Technology",162," CA"
"520",3.9,"10000+ employees","Biotech & Pharmaceuticals",137," NY"
"521",3,"10000+ employees","Retail",98," TN"
"522",3.7,"10000+ employees","Insurance",115," NY"
"523",3.5,"5001 to 10000 employees","Biotech & Pharmaceuticals",133.5," CO"
"524",4,"501 to 1000 employees","Insurance",99," CO"
"525",3.3,"501 to 1000 employees","Manufacturing",54," WI"
"526",3.2,"1001 to 5000 employees","Health Care",109," TN"
"527",3.4,"201 to 500 employees","Information Technology",109," MD"
"528",4.4,"1001 to 5000 employees","Information Technology",139.5," MA"
"529",3.3,"10000+ employees","Insurance",254," IL"
"530",3.2,"1001 to 5000 employees","Information Technology",125," NY"
"531",3.8,"10000+ employees","Biotech & Pharmaceuticals",106.5," MA"
"532",2.9,"201 to 500 employees","Biotech & Pharmaceuticals",73," CA"
"533",2.7,"201 to 500 employees","Biotech & Pharmaceuticals",81," MD"
"534",3.6,"1001 to 5000 employees","Health Care",27.5," DE"
"535",3.1,"5001 to 10000 employees","Manufacturing",99.5," NC"
"536",3.3,"501 to 1000 employees","Insurance",45.5," OH"
"537",3.7,"5001 to 10000 employees","Insurance",54," MA"
"538",4.5,"51 to 200 employees","Business Services",122.5," IN"
"539",3,"1001 to 5000 employees","Information Technology",37.5," FL"
"540",3.8,"1001 to 5000 employees","Travel & Tourism",53.5," NY"
"541",3.9,"5001 to 10000 employees","Finance",140," IL"
"542",3.2,"5001 to 10000 employees","Government",77.5," VA"
"543",3.3,"1 to 50 employees","Construction, Repair & Maintenance",26.5," MA"
"544",3.1,"5001 to 10000 employees","Manufacturing",117.5," NC"
"545",2.4,"501 to 1000 employees","Biotech & Pharmaceuticals",70.5," CA"
"546",2.9,"1001 to 5000 employees","Biotech & Pharmaceuticals",70," NY"
"547",4.8,"51 to 200 employees","Information Technology",61.5," CA"
"548",2.9,"1001 to 5000 employees","Biotech & Pharmaceuticals",80," GA"
"549",4.7,"51 to 200 employees","Information Technology",79.5," GA"
"550",4.7,"501 to 1000 employees","Information Technology",168," CA"
"551",3.4,"1001 to 5000 employees","Insurance",90," MA"
"553",3.9,"51 to 200 employees","Information Technology",138.5," CA"
"554",3.6,"10000+ employees","Biotech & Pharmaceuticals",111.5," PA"
"555",3.6,"5001 to 10000 employees","Insurance",68.5," MA"
"556",3.9,"10000+ employees","Biotech & Pharmaceuticals",84.5," MA"
"557",4.4,"1001 to 5000 employees","Information Technology",102.5," TN"
"558",2.6,"501 to 1000 employees","Education",73.5," PA"
"559",3.6,"501 to 1000 employees","Government",93.5," OH"
"560",3.2,"1 to 50 employees","Business Services",127.5," PA"
"561",4.2,"10000+ employees","Non-Profit",72," UT"
"562",3.6,"5001 to 10000 employees","Insurance",129.5," MA"
"563",3.1,"1001 to 5000 employees","Manufacturing",47," UT"
"564",3.8,"501 to 1000 employees","Consumer Services",65," AL"
"565",3.8,"1001 to 5000 employees","Finance",60," WI"
"566",4,"10000+ employees","Biotech & Pharmaceuticals",167.5," NY"
"567",3.8,"1001 to 5000 employees","Travel & Tourism",65," NY"
"568",4,"501 to 1000 employees","Information Technology",94," VA"
"569",1.9,"201 to 500 employees","Retail",87.5," NY"
"570",4,"501 to 1000 employees","Information Technology",97," VA"
"571",4.3,"5001 to 10000 employees","Information Technology",112.5," NC"
"572",3.6,"5001 to 10000 employees","Insurance",91.5," MA"
"573",3.3,"10000+ employees","Insurance",51.5," IN"
"574",3.8,"10000+ employees","Biotech & Pharmaceuticals",114.5," MA"
"575",4.3,"201 to 500 employees","Business Services",115," NY"
"576",3.2,"1 to 50 employees","Business Services",74," PA"
"577",4.7,"51 to 200 employees","Business Services",51," CA"
"578",3.4,"501 to 1000 employees","Health Care",100," AZ"
"579",3.8,"10000+ employees","Biotech & Pharmaceuticals",121," MA"
"580",4.5,"201 to 500 employees","Information Technology",121.5," CA"
"581",3.1,"10000+ employees","Finance",62.5," MA"
"583",3.9,"201 to 500 employees","Information Technology",122," FL"
"584",4.4,"51 to 200 employees","Information Technology",85," VA"
"585",3.4,"501 to 1000 employees","Information Technology",60.5," AZ"
"586",3.9,"51 to 200 employees","Finance",180," CA"
"587",4.7,"1001 to 5000 employees","Finance",70.5," MO"
"588",3.3,"1001 to 5000 employees","Aerospace & Defense",118.5," VA"
"589",3.9,"501 to 1000 employees","Information Technology",66.5," IL"
"590",3.4,"1001 to 5000 employees","Business Services",107.5," MA"
"591",4.7,"51 to 200 employees","Business Services",138.5," TX"
"592",2.7,"201 to 500 employees","Biotech & Pharmaceuticals",81," MD"
"593",3.8,"1001 to 5000 employees","Insurance",58.5," IL"
"594",3.4,"1001 to 5000 employees","Transportation & Logistics",107.5," IL"
"595",3.8,"501 to 1000 employees","Biotech & Pharmaceuticals",120.5," MA"
"596",3.9,"201 to 500 employees","Information Technology",63.5," CA"
"597",3.1,"5001 to 10000 employees","Manufacturing",103.5," KY"
"598",4.1,"5001 to 10000 employees","Information Technology",107," CA"
"599",3.7,"5001 to 10000 employees","Aerospace & Defense",105.5," VA"
"600",2.8,"501 to 1000 employees","Insurance",83," CA"
"601",4,"1001 to 5000 employees","Information Technology",162," CA"
"602",3.5,"1001 to 5000 employees","Information Technology",68.5," CA"
"603",3.4,"10000+ employees","Insurance",110.5," OH"
"604",3.7,"201 to 500 employees","Insurance",115.5," IA"
"605",3,"501 to 1000 employees","Biotech & Pharmaceuticals",87.5," CA"
"606",3.8,"1001 to 5000 employees","Oil, Gas, Energy & Utilities",80.5," WA"
"607",4.6,"501 to 1000 employees","Finance",43," IA"
"608",4.4,"201 to 500 employees","Biotech & Pharmaceuticals",140," MA"
"609",4,"10000+ employees","Biotech & Pharmaceuticals",172," MA"
"611",3,"5001 to 10000 employees","Insurance",66.5," PA"
"612",3,"501 to 1000 employees","Biotech & Pharmaceuticals",100," CA"
"613",4.7,"51 to 200 employees","Business Services",94.5," CA"
"614",4.2,"501 to 1000 employees","Health Care",221.5," CA"
"615",3.8,"1001 to 5000 employees","Oil, Gas, Energy & Utilities",119," WA"
"616",3.5,"201 to 500 employees","Business Services",95.5," IL"
"617",3.3,"10000+ employees","Insurance",194.5," IL"
"618",3.2,"10000+ employees","Health Care",25," NE"
"619",2.7,"5001 to 10000 employees","Finance",13.5," TN"
"620",3.3,"1001 to 5000 employees","Finance",173," NJ"
"621",3.7,"501 to 1000 employees","Education",105.5," TX"
"622",3.9,"1001 to 5000 employees","Business Services",71.5," TX"
"623",3.1,"5001 to 10000 employees","Manufacturing",74," NC"
"624",3.7,"10000+ employees","Aerospace & Defense",62.5," AL"
"625",4.3,"1001 to 5000 employees","Business Services",65.5," NC"
"626",3.8,"10000+ employees","Retail",85," PA"
"627",3.9,"10000+ employees","Biotech & Pharmaceuticals",147.5," MD"
"628",3.6,"1001 to 5000 employees","Business Services",161.5," NJ"
"629",3.7,"10000+ employees","Health Care",81," VA"
"630",2.1,"1001 to 5000 employees","Biotech & Pharmaceuticals",72.5," PA"
"631",3.9,"51 to 200 employees","Information Technology",139," CA"
"632",3.9,"201 to 500 employees","Information Technology",136.5," CA"
"633",3.2,"201 to 500 employees","Information Technology",83," NY"
"634",4.6,"51 to 200 employees","Business Services",121," MA"
"635",3.8,"1001 to 5000 employees","Travel & Tourism",74.5," NY"
"636",2.2,"501 to 1000 employees","Retail",85.5," CA"
"637",3.1,"5001 to 10000 employees","Manufacturing",80.5," NC"
"638",4.6,"51 to 200 employees","Business Services",167.5," MA"
"639",2.6,"501 to 1000 employees","Education",107.5," PA"
"640",3.4,"501 to 1000 employees","Non-Profit",44.5," WA"
"641",3.3,"1001 to 5000 employees","Health Care",107.5," MD"
"643",3.7,"201 to 500 employees","Health Care",69.5," PA"
"644",3.5,"10000+ employees","Information Technology",98.5," CA"
"645",2.7,"201 to 500 employees","Biotech & Pharmaceuticals",80.5," MD"
"646",3.8,"51 to 200 employees","Biotech & Pharmaceuticals",37," MA"
"647",3.7,"10000+ employees","Aerospace & Defense",99," MD"
"648",3.8,"501 to 1000 employees","Biotech & Pharmaceuticals",96.5," MA"
"649",3.3,"10000+ employees","Insurance",53," MA"
"650",2.7,"1 to 50 employees","Information Technology",103," CA"
"651",3.8,"501 to 1000 employees","Finance",139.5," CA"
"652",3.8,"1001 to 5000 employees","Oil, Gas, Energy & Utilities",67," WA"
"653",3,"10000+ employees","Information Technology",62.5," CT"
"654",3.9,"10000+ employees","Biotech & Pharmaceuticals",92," MD"
"655",3.6,"1 to 50 employees","Health Care",66," NY"
"656",3.5,"501 to 1000 employees","Health Care",94.5," CA"
"657",3.6,"1001 to 5000 employees","Business Services",114," NJ"
"658",4.2,"51 to 200 employees","Education",75.5," NY"
"659",3.5,"1 to 50 employees","Education",96," MO"
"660",4,"501 to 1000 employees","Aerospace & Defense",87," VA"
"661",3.7,"201 to 500 employees","Information Technology",86," MD"
"662",4.4,"1 to 50 employees","Information Technology",116.5," CA"
"663",3.5,"1001 to 5000 employees","Biotech & Pharmaceuticals",154.5," MA"
"664",3.6,"1001 to 5000 employees","Arts, Entertainment & Recreation",48.5," CA"
"665",3.7,"501 to 1000 employees","Finance",87," KS"
"666",3.4,"501 to 1000 employees","Information Technology",80," TX"
"667",4,"1001 to 5000 employees","Health Care",21.5," TX"
"668",3.7,"10000+ employees","Aerospace & Defense",173," CA"
"669",2.4,"501 to 1000 employees","Manufacturing",52.5," IL"
"670",3.5,"501 to 1000 employees","Biotech & Pharmaceuticals",68.5," AZ"
"671",3.9,"10000+ employees","Biotech & Pharmaceuticals",95," MD"
"672",3.2,"5001 to 10000 employees","Government",69.5," MA"
"673",4.4,"201 to 500 employees","Mining & Metals",107," OH"
"674",3.9,"501 to 1000 employees","Information Technology",112," VA"
"675",3.4,"51 to 200 employees","Business Services",96.5," DC"
"676",2.1,"201 to 500 employees","Biotech & Pharmaceuticals",111.5," CA"
"677",3.7,"10000+ employees","Biotech & Pharmaceuticals",154.5," MA"
"678",3.4,"201 to 500 employees","Health Care",95," NY"
"679",4,"501 to 1000 employees","Consumer Services",97.5," NY"
"680",4.4,"201 to 500 employees","Business Services",128.5," IL"
"681",2.6,"501 to 1000 employees","Education",124," PA"
"682",3.2,"501 to 1000 employees","Information Technology",194," CA"
"683",3.7,"501 to 1000 employees","Health Care",31.5," CO"
"684",4.2,"10000+ employees","Non-Profit",50," UT"
"685",3.5,"201 to 500 employees","Business Services",104.5," NY"
"686",4.3,"201 to 500 employees","Information Technology",69.5," AZ"
"687",2.6,"10000+ employees","Education",121," CA"
"688",4.2,"201 to 500 employees","Information Technology",85.5," NC"
"689",3.1,"1001 to 5000 employees","Media",113," CA"
"690",3.8,"201 to 500 employees","Manufacturing",103," CA"
"691",3.9,"10000+ employees","Biotech & Pharmaceuticals",90.5," MA"
"692",4.3,"51 to 200 employees","Information Technology",153," CA"
"693",3.2,"5001 to 10000 employees","Government",106.5," VA"
"694",5,"51 to 200 employees","Information Technology",130," MI"
"695",3.3,"1001 to 5000 employees","Business Services",123.5," CA"
"696",4.3,"1001 to 5000 employees","Information Technology",86.5," NY"
"697",3.5,"501 to 1000 employees","Health Care",64," CA"
"698",3.9,"201 to 500 employees","Information Technology",47," NY"
"699",4,"10000+ employees","Information Technology",162," CA"
"700",3.9,"10000+ employees","Biotech & Pharmaceuticals",140," MD"
"701",3.4,"51 to 200 employees","Information Technology",89," WA"
"702",3,"10000+ employees","Retail",98," TN"
"703",3.9,"10000+ employees","Biotech & Pharmaceuticals",137," NY"
"704",4,"501 to 1000 employees","Insurance",99," CO"
"705",3.3,"501 to 1000 employees","Manufacturing",54," WI"
"706",3.2,"1001 to 5000 employees","Health Care",109," TN"
"707",3.4,"201 to 500 employees","Information Technology",109," MD"
"708",4.4,"1001 to 5000 employees","Information Technology",139.5," MA"
"709",3.3,"10000+ employees","Insurance",254," IL"
"710",3.2,"1001 to 5000 employees","Information Technology",125," NY"
"711",3.8,"10000+ employees","Biotech & Pharmaceuticals",106.5," MA"
"712",3.6,"1001 to 5000 employees","Health Care",27.5," DE"
"713",2.9,"201 to 500 employees","Biotech & Pharmaceuticals",73," CA"
"714",2.7,"201 to 500 employees","Biotech & Pharmaceuticals",81," MD"
"715",3.2,"1 to 50 employees","Business Services",128.5," PA"
"716",3.1,"5001 to 10000 employees","Manufacturing",99.5," NC"
"717",4,"501 to 1000 employees","Biotech & Pharmaceuticals",92," CA"
"718",3.3,"501 to 1000 employees","Insurance",45.5," OH"
"719",4.5,"51 to 200 employees","Business Services",122.5," IN"
"720",3,"1001 to 5000 employees","Information Technology",37.5," FL"
"721",3.7,"5001 to 10000 employees","Insurance",54," MA"
"722",3.8,"1001 to 5000 employees","Travel & Tourism",53.5," NY"
"723",3.9,"5001 to 10000 employees","Finance",140," IL"
"724",3.2,"5001 to 10000 employees","Government",77.5," VA"
"725",3.3,"1 to 50 employees","Construction, Repair & Maintenance",26.5," MA"
"726",3.1,"5001 to 10000 employees","Manufacturing",117.5," NC"
"727",2.4,"501 to 1000 employees","Biotech & Pharmaceuticals",70.5," CA"
"728",4.8,"51 to 200 employees","Information Technology",61.5," CA"
"729",2.9,"1001 to 5000 employees","Biotech & Pharmaceuticals",80," GA"
"730",2.9,"1001 to 5000 employees","Biotech & Pharmaceuticals",70," NY"
"732",3.4,"1001 to 5000 employees","Insurance",90," MA"
"733",4.1,"1 to 50 employees","Education",111," CA"
"734",3.9,"51 to 200 employees","Information Technology",138.5," CA"
"735",3.6,"5001 to 10000 employees","Insurance",68.5," MA"
"736",3.9,"201 to 500 employees","Information Technology",87.5," CA"
"737",3.6,"10000+ employees","Biotech & Pharmaceuticals",111.5," PA"
"738",3.9,"10000+ employees","Biotech & Pharmaceuticals",84.5," MA"
"739",4.4,"1001 to 5000 employees","Information Technology",102.5," TN"
"740",2.6,"501 to 1000 employees","Education",73.5," PA"
"741",3.2,"1 to 50 employees","Business Services",127.5," PA"
"742",3.6,"501 to 1000 employees","Government",93.5," OH"
